Chi,Gel,Gly,Pec,Sta,Oil,T(Â°C),%RH,t(h),TS,WVP,%E
0.920,0.000,0.387,0.000,0.460,0.000,60,50,18,49.40,92.20,100.40
0.920,0.460,0.387,0.000,0.460,0.000,60,50,18,13.63,90.60,70.60
0.920,0.000,0.387,0.000,1.380,0.000,60,50,18,33.36,101.20,50.30
0.920,0.460,0.387,0.000,1.380,0.000,60,50,18,40.41,94.70,35.10
0.922,0.000,0.194,0.000,0.922,0.000,60,50,18,39.23,70.30,8.90
0.919,0.000,0.579,0.000,0.919,0.000,60,50,18,28.83,57.80,110.70
0.922,0.461,0.194,0.000,0.922,0.000,60,50,18,30.76,87.50,21.50
0.919,0.459,0.579,0.000,0.919,0.000,60,50,18,18.90,60.80,75.40
0.922,0.230,0.194,0.000,0.461,0.000,60,50,18,36.46,81.70,51.20
0.922,0.230,0.194,0.000,1.382,0.000,60,50,18,39.89,101.70,4.51
0.919,0.230,0.579,0.000,0.459,0.000,60,50,18,16.71,65.80,100.20
0.919,0.230,0.579,0.000,1.378,0.000,60,50,18,26.40,96.10,80.50
0.920,0.230,0.387,0.000,0.920,0.000,60,50,18,33.36,80.60,100.30
0.920,0.230,0.387,0.000,0.920,0.000,60,50,18,33.89,81.70,100.80
0.920,0.230,0.387,0.000,0.920,0.000,60,50,18,32.85,81.70,100.10
0.240,0.500,1.260,0.000,0.000,0.000,25,58,12,12.05,7.68,63.39
0.000,0.500,1.400,0.100,0.000,0.000,25,58,12,2.92,7.68,106.56
0.100,0.500,1.400,0.000,0.000,0.000,25,58,12,3.44,7.68,72.26
0.240,0.360,1.400,0.000,0.000,0.000,25,58,12,8.87,7.68,37.54
0.000,0.500,1.200,0.300,0.000,0.000,25,58,12,6.42,7.68,145.68
0.240,0.500,0.960,0.300,0.000,0.000,25,58,12,22.16,7.68,27.18
0.000,0.300,1.400,0.300,0.000,0.000,25,58,12,3.20,7.68,63.39
0.240,0.060,1.400,0.300,0.000,0.000,25,58,12,24.31,7.68,15.91
0.132,0.402,1.302,0.162,0.000,0.000,25,58,12,5.33,7.68,27.28
0.794,1.191,0.992,0.000,0.000,0.000,24,33,72,23.88,0.13,11.05
0.793,1.189,0.991,0.000,0.000,0.125,24,33,72,22.64,0.24,12.03
0.792,1.188,0.990,0.000,0.000,0.250,24,33,72,14.06,0.27,12.33
0.790,1.185,0.987,0.000,0.000,0.500,24,33,72,13.86,0.75,12.75
0.786,1.179,0.982,0.000,0.000,1.000,24,33,72,13.70,0.86,12.70
0.000,0.984,0.992,0.000,0.000,0.000,24,55,72,6.01,11.55,18.98
1.984,0.000,0.992,0.000,0.000,0.000,50,50,2,9.25,13.61,20.77
0.000,3.975,0.795,0.000,0.000,0.000,30,53,24,31.00,8.00,6.40
0.498,1.992,0.498,0.000,0.000,0.000,30,53,24,45.00,13.00,9.30
0.998,0.000,0.200,0.000,0.000,0.000,30,53,24,55.00,17.00,5.70
0.000,3.886,0.777,0.000,0.000,2.231,30,53,24,35.00,11.00,51.00
0.491,1.964,0.491,0.000,0.000,1.409,30,53,24,6.70,15.00,31.00
0.993,0.000,0.199,0.000,0.000,0.570,30,53,24,46.00,25.00,9.80
1.972,0.000,1.775,0.000,0.000,0.000,25,45,14,20.96,0.03,27.64
0.000,1.972,1.775,0.000,0.000,0.000,25,45,14,8.91,0.02,27.23
0.986,0.986,1.775,0.000,0.000,0.000,25,45,14,31.87,0.02,29.77
0.000,2.000,0.829,0.000,0.000,0.000,25,53,36,22.60,9.08,36.50
1.333,1.333,0.000,0.000,0.000,0.000,22,50,48,57.60,72.00,6.50
1.000,1.000,0.000,0.000,0.000,0.500,22,50,48,62.20,96.00,4.70
2.000,0.000,0.000,0.000,0.000,0.000,22,50,48,143.20,31.00,5.50
0.499,0.000,0.300,0.000,0.000,0.000,2,54,336,120.00,72.50,8.51
0.998,0.000,0.300,0.000,0.000,0.000,2,54,336,351.00,62.50,42.40
1.496,0.000,0.300,0.000,0.000,0.000,2,54,336,398.00,84.50,7.72
0.499,0.000,0.300,0.000,0.000,0.000,25,54,168,107.00,66.30,13.80
0.998,0.000,0.300,0.000,0.000,0.000,25,54,168,372.00,92.20,15.50
1.496,0.000,0.300,0.000,0.000,0.000,25,54,168,309.00,79.30,26.50
0.499,0.000,0.300,0.000,0.000,0.000,40,54,24,210.00,38.50,2.46
0.998,0.000,0.300,0.000,0.000,0.000,40,54,24,231.00,40.80,1.50
1.496,0.000,0.300,0.000,0.000,0.000,40,54,24,656.00,0.27,2.77
1.000,0.000,0.000,0.000,0.000,0.000,40,75,140,64.30,105.49,13.70
1.000,0.000,0.250,0.000,0.000,0.000,40,75,140,44.90,89.68,16.90
1.000,0.000,0.750,0.000,0.000,0.000,40,75,140,15.80,29.53,39.90
1.000,0.000,1.250,0.000,0.000,0.000,40,75,140,8.70,27.24,48.70
1.000,0.000,0.000,0.000,0.000,0.000,22,50,46,55.83,9.21,4.58
0.999,0.000,0.150,0.000,0.000,0.000,22,50,25,36.85,10.10,27.34
0.998,0.000,0.299,0.000,0.000,0.000,22,50,26,23.87,10.20,37.67
1.400,0.000,0.000,0.000,0.000,0.000,60,62,24,67.11,78.88,21.35
1.003,0.000,0.000,0.000,0.000,0.000,25,60,48,113.00,124.00,22.00
0.998,0.000,0.000,0.000,0.000,0.500,25,60,48,65.00,130.20,7.00
0.992,0.000,0.000,0.000,0.000,1.000,25,60,48,63.00,86.00,5.50
0.981,0.000,0.000,0.000,0.000,2.000,25,60,48,50.00,92.00,6.00
0.970,0.000,0.000,0.000,0.000,3.000,25,60,48,22.00,65.00,1.70
1.000,0.000,0.200,0.000,0.000,0.000,21,57,24,627.50,9.65,4.20
1.000,0.000,0.200,0.000,0.000,0.976,21,57,24,121.30,27.77,23.70
1.000,0.000,0.200,0.000,0.000,1.519,21,57,24,71.20,28.82,13.20
1.000,0.000,0.200,0.000,0.000,1.247,21,57,24,94.80,25.40,15.90
1.000,0.000,0.200,0.000,0.000,1.951,21,57,24,42.20,44.56,24.50
1.000,0.000,0.200,0.000,0.000,2.495,21,57,24,44.40,44.40,30.20
1.000,0.000,0.200,0.000,0.000,2.927,21,57,24,36.30,63.19,42.80
1.000,0.000,0.200,0.000,0.000,4.557,21,57,24,32.40,76.63,41.10
1.000,0.000,0.200,0.000,0.000,3.742,21,57,24,27.40,66.69,32.70
2.000,0.000,0.000,0.000,0.000,2.180,26,0,72,9.45,0.63,4.86
2.000,0.000,0.000,0.000,0.000,1.090,26,0,72,13.92,0.56,11.03
2.000,0.000,0.000,0.000,0.000,0.550,26,0,72,14.41,0.54,5.46
2.000,0.000,0.000,0.000,0.000,0.270,26,0,72,17.67,0.34,4.02
2.000,0.000,0.000,0.000,0.000,0.000,26,0,72,19.36,0.30,3.76