Country, Cites
South Korea, 719
Poland, 617
Thailand, 1369
Spain, 5113
China, 6606
Colombia, 288
Viet Nam, 120
Egypt, 1455
Portugal, 2240
India, 1078
Brazil, 4286
Mexico, 1339
Iran, 2839
Turkey, 993
Japan, 171
Oman, 24
Australia, 107
Croatia, 8
Peru, 3
Indonesia, 227
Serbia, 12
Argentina, 2086
Malaysia, 879
United States, 2464
Italy, 1324
Taiwan, 218
Czech Republic, 46
Ireland, 70
Syrian Arab Republic, 55
Norway, 23
Pakistan, 694
Russian Federation, 198
Greece, 1127
Saudi Arabia, 47
Singapore, 20
Canada, 297
Tunisia, 795
Morocco, 1
Iraq, 25
France, 1080
Chile, 1094
Israel, 20
Romania, 327
Nigeria, 2
New Zealand, 64
Cote d'Ivoire, 5
Lithuania, 70
Sweden, 15
Bulgaria, 3
South Africa, 73
United Kingdom, 92
Algeria, 80
Ecuador, 126
Switzerland, 19