From, To
54386925600, 57194614861
54386925600, 7005915405
57194614861, 7005915405
15055877400, 16835786300
15055877400, 57213758416
16835786300, 57213758416
57191605505, 6602264773
57191605505, 7003611288
57191605505, 7005998786
6602264773, 7003611288
6602264773, 7005998786
7003611288, 7005998786
14039835700, 7006194463
14039835700, 24721365800
7006194463, 24721365800
24474760300, 15925973400
24474760300, 6506439753
24474760300, 54681826100
15925973400, 6506439753
15925973400, 54681826100
6506439753, 54681826100
57203910389, 57191601241
57203910389, 13402823200
57191601241, 13402823200
36902630800, 25821852000
36902630800, 14039835700
36902630800, 7006194463
25821852000, 14039835700
25821852000, 7006194463
7102969077, 7005041365
7102969077, 23977886600
7005041365, 23977886600
25655018700, 23976265000
25655018700, 6602264773
25655018700, 7005998786
23976265000, 6602264773
23976265000, 7005998786
23976265000, 7003611288
57191605505, 25655018700
25655018700, 7003611288
8873063200, 14019182600
8873063200, 7007165044
8873063200, 7005763990
14019182600, 7007165044
14019182600, 7005763990
7007165044, 7005763990
57191605505, 23976265000
35607315000, 6603396283
35607315000, 35892704700
6603396283, 35892704700
35607315000, 7003611288
35607315000, 7005998786
7003611288, 35892704700
7005998786, 35892704700
35892704700, 23976265000
35607315000, 23976265000
7004956959, 7203022173
7004956959, 35497138000
7203022173, 35497138000